Name,Name2,X1 (Relative Compactness) ,X2 (Compactness),X3 (Surface Area) (m2),X4 (Wall Area) (m2),X5 (Roof and floor Area) (m2),X6 (Overall Height) (m),X7 (Glazing Percentage) ,X8 (Temperature) (in F),X9 (Orientation) ( in degrees),X10 (Roof U value) (BTU/hft2F),X11 (EX.Walls U value)(BTU/hft2F),X12 (EX.windows U value) (BTU/hft2F),X13 (SHGC of Windows) ,Interior Walls (BTU/hft2F),Ceilings (BTU/hft2F),Floors (BTU/hft2F),Slabs (BTU/hft2F),Doors -Metal (BTU/hft2F),Interior Windows (BTU/hft2F),Skylights (BTU/hft2F),Outdoor Air per Person (CFM),Y (Energy) (kwh/m2/year
E,135M30,0.705,1.178,856,280,288,3.5,30,63,135,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,235
E,135B50,0.705,1.178,856,280,288,3.5,50,72,135,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,248
E,135C50,0.705,1.178,856,280,288,3.5,50,69,135,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,255
E,135D50,0.705,1.178,856,280,288,3.5,50,45,135,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,242
E,135K50,0.705,1.178,856,280,288,3.5,50,55,135,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,265
E,135M50,0.705,1.178,856,280,288,3.5,50,63,135,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,246
E,225B0,0.705,1.178,856,280,288,3.5,0,72,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,225
E,225C0,0.705,1.178,856,280,288,3.5,0,69,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,238
E,225D0,0.705,1.178,856,280,288,3.5,0,45,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,231
E,225K0,0.705,1.178,856,280,288,3.5,0,55,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,238
E,225M0,0.705,1.178,856,280,288,3.5,0,63,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,222
E,225B10,0.705,1.178,856,280,288,3.5,10,72,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,227
E,225C10,0.705,1.178,856,280,288,3.5,10,69,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,240
E,225D10,0.705,1.178,856,280,288,3.5,10,45,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,232
E,225K10,0.705,1.178,856,280,288,3.5,10,55,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,240
E,225M10,0.705,1.178,856,280,288,3.5,10,63,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,223
E,225B30,0.705,1.178,856,280,288,3.5,30,72,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,239
E,225C30,0.705,1.178,856,280,288,3.5,30,69,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,254
E,225D30,0.705,1.178,856,280,288,3.5,30,45,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,243
E,225K30,0.705,1.178,856,280,288,3.5,30,55,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,255
E,225M30,0.705,1.178,856,280,288,3.5,30,63,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,238
E,225B50,0.705,1.178,856,280,288,3.5,50,72,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,254
E,225C50,0.705,1.178,856,280,288,3.5,50,69,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,259
E,225D50,0.705,1.178,856,280,288,3.5,50,45,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,244
E,225K50,0.705,1.178,856,280,288,3.5,50,55,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,271
E,225M50,0.705,1.178,856,280,288,3.5,50,63,225,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,246
E,315B0,0.705,1.178,856,280,288,3.5,0,72,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,226
E,315C0,0.705,1.178,856,280,288,3.5,0,69,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,237
E,315D0,0.705,1.178,856,280,288,3.5,0,45,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,228
E,315K0,0.705,1.178,856,280,288,3.5,0,55,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,238
E,315M0,0.705,1.178,856,280,288,3.5,0,63,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,222
E,315B10,0.705,1.178,856,280,288,3.5,10,72,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,228
E,315C10,0.705,1.178,856,280,288,3.5,10,69,315,0.1201,0.1627,0.5141,0.13,0.2595,0.2397,0.521,0.1243,0.652,0.6498,0.5628,15,238
